issue_id,user,createtime,durationtime,assignee,commentsnumber
2,user1,1423607999,452566,user2,0
3,user3,1423946006,2117,user1,4
4,user3,1423947438,118312,None,0
5,user3,1423948496,692389,user4,0
6,user2,1423950049,1443489,user3,1
8,user1,1424053116,1340439,user2,5
9,user1,1424053611,1339892,user2,5
10,user1,1424055638,4900,None,1
11,user1,1424055792,330655,user1,0
12,user4,1424056288,1240,user2,3
13,user1,1424379548,261292,user4,0
14,user1,1424379640,3998953,None,0
15,user1,1424384408,3811513,user3,0
16,user1,1424445532,195055,user1,0
17,user1,1424445643,947929,user2,0
18,user1,1424445710,220160,user4,3
19,user1,1424546242,847199,user2,9
20,user4,1424641022,57,None,0
21,user1,1424665963,727599,user3,3
23,user1,1424736322,260,None,0
24,user4,1424736463,656970,user4,0
25,user1,1424810176,609779,user3,0
26,user1,1424820735,3375203,user3,2
27,user1,1424821078,572373,user2,1
28,user4,1424829505,563915,user4,0
29,user4,1424829936,3365954,user3,2
31,user4,1425679835,2665954,None,0
32,user2,1427089033,1289566,None,3
33,user1,1427601942,235200,user4,1
35,user4,1428029048,44567,None,1
36,user1,1428074897,300288,None,1
41,user1,1428195853,12363,user1,0
45,user1,1428196564,148989,user1,0
46,user1,1428196619,148929,user1,0
47,user1,1428196714,148878,user4,0
48,user1,1428196726,148871,user4,0
49,user1,1428196759,148785,user4,0
50,user1,1428196830,178366,user2,0
51,user1,1428204293,141561,user1,0
52,user1,1428205508,169665,user2,1
53,user1,1428208401,42856,user4,1
54,user4,1428239404,106163,None,1
56,user1,1428251235,94340,None,2
57,user1,1428262905,176315,user3,4
59,user1,1428278271,67353,user4,0
62,user1,1428345517,97188,None,0
63,user1,1428349938,852,user2,0
64,user1,1428353839,14143,user1,2
67,user1,1428375158,67240,None,0
69,user4,1428376333,1008703,None,0
70,user1,1428376627,65783,None,0
71,user1,1428376882,65545,None,0
72,user1,1428377149,62044,user3,0
73,user1,1428377262,61913,user3,0
74,user1,1428377599,65097,None,0
75,user1,1428378569,63912,None,0
77,user1,1428379326,63092,None,0
78,user1,1428379541,1005495,None,0
79,user1,1428379827,59255,user3,0
82,user4,1428382996,59512,None,1
83,user1,1428384161,58368,None,0
84,user1,1428384701,1000300,None,1
85,user3,1428413114,5297,None,1
86,user3,1428414661,3737,None,6
88,user1,1428419596,22948,user2,1
89,user1,1428419717,965320,None,0
91,user4,1428445668,442454,user3,0
93,user4,1428613167,2229,None,0
